GLN;Adres;Postcode;Plaats;Land
4040051001249;Alt-Mahlsdorf 85;12623;Berlin;Duitsland
4040051011248;Alt-Mahlsdorf 85;12623;Berlin;Duitsland
4040051001225;Alte Messe 2;04103;Leipzig;Duitsland
4040051011224;Alte Messe 2;04103;Leipzig;Duitsland
4040051001409;An der B 101 Nr. 2;14959;Trebbin;Duitsland
4040051011408;An der B 101 Nr. 2;14959;Trebbin;Duitsland
4040051001188;Äußere Schneeberger Str. 100;08056;Zwickau;Duitsland
4040051011187;Äußere Schneeberger Str. 100;08056;Zwickau;Duitsland
4040051001003;Delitzscher Str. 6;06188;Sietzsch;Duitsland
4040051001164;Ernst Zindel Straße;06847;Dessau;Duitsland
4040051011163;Ernst Zindel Straße;06847;Dessau;Duitsland
4040051001157;Heerener Straße;39576;Stendal;Duitsland
4040051011156;Heerener Straße;39576;Stendal;Duitsland
4040051001133;Im Sülzeteiche 3;38820;Halberstadt;Duitsland
4040051011132;Im Sülzeteiche 3;38820;Halberstadt;Duitsland
4040051001126;Lilienthal Str. 7-9;04509;Wiedemar;Duitsland
4040051011125;Lilienthal Str. 7-9;04509;Wiedemar;Duitsland
4040051001195;Paunsdorfer Allee 1;04329;Leipzig;Duitsland
4040051001140;Robert-Bosch Str.1;02828;Görlitz;Duitsland
4040051011149;Robert-Bosch Str.1;02828;Görlitz;Duitsland
4040051001171;Salbker Chaussee 65;39118;Magdeburg;Duitsland
4040051011170;Salbker Chaussee 65;39118;Magdeburg;Duitsland
4040051001270;Schongauer Straße 45;04328;Leipzig;Duitsland
4040051011279;Schongauer Straße 45;04328;Leipzig;Duitsland
4040051001997;Verkehrshof 9;14478;Potsdam;Duitsland
4040051001232;Weimarische Str.;07751;Isserstedt;Duitsland
4040051011231;Weimarische Str.;07751;Isserstedt;Duitsland
4040051001218;Zum Kirchsteigfeld;14480;Potsdam;Duitsland
4040051011217;Zum Kirchsteigfeld;14480;Potsdam;Duitsland
